Comparison,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,Before Scaling,NeuralNet,0.4637029637029637,0.08362304070571028,0.4797141440800338,0.06295504873841473,0.3517536231884058,0.2696785163470833,0.6393135229620213,0.28378783909988686,0.40296528103757023,0.21405910819622062
NC vs MCI,Before Scaling,KNN,0.6164502164502165,0.03655382135512476,0.5987516460663678,0.05611844441325733,0.766840579710145,0.06356341898894659,0.3707691085332909,0.10672528891698514,0.7124592905892531,0.031778171777139416
NC vs MCI,Before Scaling,RandomForest,0.6761238761238761,0.02123200304482495,0.74024815530023,0.04972069431723047,0.9466666666666667,0.03935239651039198,0.2340298744636898,0.0929851392777365,0.7842723047949474,0.00790163990319656
NC vs MCI,Before Scaling,SVM,0.6813852813852814,0.04515464869404434,0.740877158195096,0.03117973840395473,0.8295652173913043,0.031041601910167874,0.43899570951851263,0.10360929075737985,0.7643135463255373,0.029046698591614455
NC vs MCI,Before Scaling,LogisticRegression,0.6293706293706294,0.06025557982018072,0.6822618506414995,0.05567461354887337,0.720855072463768,0.06313746845839985,0.4806689972985857,0.09399463390030413,0.7069395306509701,0.04967965115671137
NC vs MCI,After Scaling,NeuralNet,0.4557109557109557,0.0857642341480431,0.46954422212856706,0.043222209491426265,0.37393478260869567,0.3166231808599064,0.5887494040997934,0.31680078616311286,0.40169757062386113,0.23907249725840068
NC vs MCI,After Scaling,KNN,0.613919413919414,0.02073391750225319,0.5923617379098469,0.036574979434820944,0.8000507246376811,0.04003241669801451,0.3085571269664707,0.07401157331842058,0.7200997098475497,0.017723586792994572
NC vs MCI,After Scaling,RandomForest,0.6917082917082917,0.02129302141747547,0.737291117114254,0.038364900023570826,0.9753333333333334,0.017043653103460857,0.2259494676624821,0.07071104504613462,0.7974189346168739,0.010223917447604628
NC vs MCI,After Scaling,SVM,0.6606726606726607,0.03533492879026555,0.7352888267847643,0.03666317567556449,0.8049275362318842,0.06505835581065315,0.4251549340537105,0.0880478399249075,0.7461967903239702,0.03012429629976365
NC vs MCI,After Scaling,LogisticRegression,0.6398601398601398,0.05640375918779636,0.679492211267638,0.059128017150629215,0.7420652173913043,0.08074350760379335,0.47145240743683453,0.07937814054168488,0.7181092606877002,0.04960830805565265
NC vs AD,Before Scaling,NeuralNet,0.48510638297872344,0.07582353055832111,0.5136899260398712,0.02538027603317844,0.5548913043478261,0.4339342947004791,0.46483591677140074,0.4252020620866092,0.3774945054945055,0.18925830128600518
NC vs AD,Before Scaling,KNN,0.6425531914893617,0.04612656040144422,0.639531098091209,0.04013246982166453,0.41588538161259925,0.14726279113344995,0.7925443373830472,0.0760688909007029,0.45366224236899255,0.10516665340597306
NC vs AD,Before Scaling,RandomForest,0.7489361702127659,0.05079717611197157,0.896873835611672,0.037606636725655146,0.4265463050208641,0.07230200464329423,0.9447605083088954,0.040003482790560284,0.55920906790472,0.0745074350367402
NC vs AD,Before Scaling,SVM,0.7957446808510638,0.07759396820770412,0.9033616057265965,0.03305113196808813,0.5852433994192643,0.1896967316327042,0.9415570451054321,0.05310470467402365,0.6744358854652972,0.12426559892392124
NC vs AD,Before Scaling,LogisticRegression,0.7914893617021276,0.027741286830649553,0.8915592866390198,0.04023987728424167,0.6838749687518028,0.1327948693788424,0.8679772378159475,0.07963829978825451,0.7064114678588362,0.04816314179781025
NC vs AD,After Scaling,NeuralNet,0.5148936170212767,0.10466701171275611,0.5479264012590145,0.0980963177696571,0.5433693729207929,0.3495483710696614,0.47220360284876406,0.3224595345349239,0.40903318903318897,0.21625839504098351
NC vs AD,After Scaling,KNN,0.6638297872340425,0.08430473513259128,0.6817629783380232,0.10510839356949207,0.5719823856315982,0.05790796090448503,0.7213538611925709,0.1388926865817032,0.5622119815668203,0.08309063741093962
NC vs AD,After Scaling,RandomForest,0.7914893617021276,0.059040157129836617,0.9134246877515846,0.048914702761384356,0.5179244466665385,0.14040069630406643,0.9591544477028349,0.036582686378538204,0.6445204799438209,0.11812213596626157
NC vs AD,After Scaling,SVM,0.7659574468085106,0.07522412565814335,0.8988037257757273,0.049257029727915534,0.5287536295982924,0.1625306875647898,0.9279625750593492,0.048372666220007916,0.62326335552142,0.11094722102990863
NC vs AD,After Scaling,LogisticRegression,0.8,0.0386508555842233,0.8920142083689472,0.052178389242682484,0.6846095417572063,0.07823570203581075,0.8817867616254713,0.08154520583203709,0.7195687494598566,0.040909164445514644
MCI vs AD,Before Scaling,NeuralNet,0.5203263403263404,0.11234166522944136,0.49802985215585577,0.1240325379615766,0.448184591914569,0.30614617308625586,0.5289946633073855,0.20685608214115986,0.29663154335225084,0.1778865649938222
MCI vs AD,Before Scaling,KNN,0.7296037296037297,0.03976392100054076,0.6117940582797925,0.0583499731017604,0.19205186880244088,0.10295783612662793,0.930674406530812,0.03544716382216251,0.26493937345052965,0.11041427974529422
MCI vs AD,Before Scaling,RandomForest,0.7539860139860141,0.0739467275616005,0.6943023657262926,0.038547399238268096,0.09458428680396644,0.13848438028844368,1.0,0.0,0.152,0.20620378270051207
MCI vs AD,Before Scaling,SVM,0.7297435897435897,0.06458782211835572,0.739991587746072,0.06196345286628332,0.0,0.0,1.0,0.0,0.0,0.0
MCI vs AD,Before Scaling,LogisticRegression,0.7232634032634033,0.0713460755462899,0.684497114602735,0.08853811194377402,0.3714187643020595,0.13746144181097275,0.8569816505262835,0.07068540380372544,0.4177802364414941,0.15733120311781484
MCI vs AD,After Scaling,NeuralNet,0.5992074592074592,0.09226818631427575,0.5401162570260641,0.06771578525838642,0.4291914569031274,0.2531657460029088,0.6692506688107003,0.18490979769856575,0.34330522970723065,0.06593416669897141
MCI vs AD,After Scaling,KNN,0.7297435897435897,0.07676815649337823,0.6115889247699695,0.046560311693177536,0.07824561403508772,0.08145718133783587,0.9748506960751324,0.016922192838546138,0.12717391304347828,0.12778097399726604
MCI vs AD,After Scaling,RandomForest,0.7570629370629371,0.07884999137855417,0.778932931034588,0.06668679877848838,0.11255530129672006,0.12437093568868234,1.0,0.0,0.1864835164835165,0.17734350050254843
MCI vs AD,After Scaling,SVM,0.7297435897435897,0.06458782211835572,0.7453334341083986,0.052211879719565195,0.0,0.0,1.0,0.0,0.0,0.0
MCI vs AD,After Scaling,LogisticRegression,0.7082051282051283,0.08255540197839255,0.706089142276337,0.08473328317678627,0.3053318077803204,0.1831245187942271,0.8635883964086368,0.05254865390795235,0.34845836516424755,0.1877206615760339
