Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,50,After Scaling,NeuralNet,0.5048192771084337,0.059848116660336334,0.43050802529099497,0.5791305289258724,0.4883977151820205,0.04467685221205554,0.43292407623724083,0.5438713541268002,0.4528633343846473,0.29084590609429156,0.09173044376241202,0.8139962250068826,0.5279741380267768,0.27483015104531067,0.18672743385291135,0.8692208422006423,0.37257907585885075,0.19198410876003022,0.1341993197842849,0.6109588319334166,30.0,53.8,47.0,35.2
NC vs MCI,50,After Scaling,KNN,0.6590361445783133,0.031185973748300684,0.6203136437261205,0.697758645430506,0.6559229398347505,0.05922420523356111,0.5823863763740066,0.7294595032954944,0.3196903455975679,0.034186248555098664,0.2772425115330564,0.36213817966207945,0.8794958116069991,0.055733480623756396,0.8102935552218936,0.9486980679921045,0.4237204532402591,0.0341850649498724,0.3812740888157451,0.4661668176647731,20.8,88.6,12.2,44.4
NC vs MCI,50,After Scaling,RandomForest,0.7096385542168674,0.013737053314447452,0.6925817496749123,0.7266953587588225,0.7580069193982882,0.03261854470040599,0.7175056467699938,0.7985081920265826,0.43908381066820856,0.05343664662770749,0.3727334503658475,0.5054341709705696,0.8859416457038776,0.04029093833265332,0.8359138381223739,0.9359694532853813,0.5410732313209092,0.041649404050990005,0.4893586657641528,0.5927877968776656,28.6,89.2,11.6,36.6
NC vs MCI,50,After Scaling,LR (L1),0.7072289156626507,0.053135125472770946,0.6412529433230711,0.7732048880022302,0.7670695343081347,0.037942451492376614,0.7199577582864579,0.8141813103298116,0.709913617034791,0.05309959201217226,0.6439817653139683,0.7758454687556136,0.7062574119424038,0.06218984604746001,0.6290385190514378,0.7834763048333697,0.6553908509790862,0.06924515532284282,0.5694116345646844,0.7413700673934881,46.4,71.0,29.8,18.8
NC vs MCI,50,After Scaling,LR (L2),0.6987951807228916,0.049858269148333856,0.6368879629086519,0.7607023985371313,0.7571824824625486,0.03959129583733211,0.7080233957790987,0.8063415691459985,0.6880246426353813,0.06064391711986198,0.6127252740375957,0.763324011233167,0.7061122841943348,0.0606768365574269,0.6307720407160836,0.781452527672586,0.6413570278952043,0.0687511491475469,0.5559912011635577,0.7267228546268509,45.0,71.0,29.8,20.2
NC vs MCI,50,After Scaling,LR (ElasticNet),0.7120481927710844,0.055767647282087274,0.6428035128763906,0.7812928726657783,0.7649037666957385,0.040419399788452645,0.7147164531494119,0.815091080242065,0.6716051511099576,0.0756999089016648,0.5776112995594556,0.7655990026604595,0.7377282278530217,0.05119163668996534,0.6741654155659648,0.8012910401400787,0.6454946005248114,0.08301098765327435,0.5424228457004033,0.7485663553492196,44.0,74.2,26.6,21.2
NC vs MCI,50,After Scaling,SVM (Linear),0.7108433734939759,0.05111615285685885,0.6473742867649336,0.7743124602230181,0.760509199789374,0.03969750147513986,0.711218241389052,0.8098001581896961,0.6578188896755492,0.06214704448374501,0.5806531419453151,0.7349846374057833,0.7461519024772186,0.06762422315804643,0.6621853391753749,0.8301184657790623,0.640571614428677,0.07153831035798225,0.5517450699648428,0.7293981588925113,43.0,75.0,25.8,22.2
NC vs MCI,50,After Scaling,SVM (RBF),0.6987951807228916,0.04528101318787021,0.6425713768453232,0.75501898460046,0.7673738746306873,0.0349671150998664,0.7239564666901359,0.8107912825712387,0.6540665050545205,0.06300831436238535,0.5758313495232412,0.7323016605857997,0.727647323981986,0.04786725033753095,0.6682122825448666,0.7870823654191053,0.6292773280259276,0.07014979751381588,0.5421748499717384,0.7163798060801169,42.8,73.2,27.6,22.4
NC vs MCI,50,After Scaling,SVM (Poly d2),0.610843373493976,0.02237852484458639,0.5830567648615446,0.6386299821264074,0.6415147583361345,0.027909246658608874,0.6068608515431511,0.6761686651291179,0.12082405425546712,0.16222859810048634,-0.0806093554849747,0.32225746399590893,0.9355790297144063,0.11038572674574389,0.7985170468986575,1.072641012530155,0.1590690690690691,0.160615646825696,-0.0403615971426087,0.35849973528074686,7.4,94.0,6.8,57.8
NC vs MCI,50,After Scaling,SVM (Sigmoid),0.7240963855421686,0.021468108049645114,0.6974402086673758,0.7507525624169614,0.7629639732060045,0.027494025317183687,0.7288256318039547,0.7971023146080544,0.6174627926567908,0.06276462436910919,0.5395302182168852,0.6953953670966965,0.7918645151348559,0.008514590617656394,0.7812922545054684,0.8024367757642434,0.6353494924062522,0.05353314372166036,0.5688793151363984,0.7018196696761059,40.4,79.8,21.0,24.8
NC vs AD,50,Before Scaling,NeuralNet,0.4881630254794082,0.03290608625263017,0.44730472285772943,0.5290213281010869,0.5049869184611058,0.0381367471578745,0.4576338925065732,0.5523399444156384,0.6085331421244735,0.29055995289538145,0.24775530929449613,0.9693109749544508,0.40090677963824134,0.26950216932333976,0.06627563855163482,0.7355379207248478,0.5050930527942257,0.12942218554965973,0.34439418442836545,0.6657919211600859,55.4,39.2,61.6,37.6
NC vs AD,50,Before Scaling,KNN,0.6738742588536938,0.03503719575244002,0.630369834289871,0.7173786834175165,0.7455642334802015,0.01971106454170047,0.7210897142725012,0.7700387526879018,0.43330889612623363,0.04909037024268501,0.37235515073739817,0.4942626415150691,0.8959923841015881,0.029862038291508426,0.8589137662420397,0.9330710019611365,0.5594425792436062,0.03312257125898615,0.5183154749833843,0.6005696835038281,40.2,90.4,10.4,52.8
