Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,75,Before Scaling,NeuralNet,0.5277108433734939,0.07032987408528324,0.4403847707235937,0.6150369160233942,0.5010805968008208,0.0700187705556039,0.4141408102034375,0.5880203833982042,0.4077434989645653,0.20273050230230558,0.1560203329180267,0.6594666650111038,0.6012682848273834,0.19847659177681815,0.3548270463319225,0.8477095233228442,0.38919211827124933,0.10644720192289456,0.2570204599340644,0.5213637766084342,26.8,60.8,40.0,38.4
NC vs MCI,75,Before Scaling,KNN,0.6385542168674698,0.03159062795693223,0.5993292714526977,0.677779162282242,0.6367570595960432,0.06355142371828024,0.5578475447304617,0.7156665744616247,0.20312006169898908,0.0354296775285782,0.15912830664378452,0.24711181675419364,0.9216480791976945,0.04546201142965324,0.8651995363195659,0.9780966220758232,0.3059369547282057,0.052669767114214505,0.24053880110870884,0.37133510834770256,13.2,92.8,8.0,52.0
NC vs MCI,75,Before Scaling,RandomForest,0.6927710843373494,0.025558076428429458,0.6610365409728282,0.7245056277018705,0.7336220343580562,0.0280576575468482,0.6987838511082045,0.7684602176079078,0.3785575801106727,0.07022504463512133,0.29136167041498995,0.46575348980635545,0.8977311848557038,0.029188780322899528,0.861488527177281,0.9339738425341266,0.48860598097184704,0.06591427764909295,0.40676259544736115,0.5704493664963329,24.6,90.4,10.4,40.6
NC vs MCI,75,Before Scaling,LR (L1),0.674698795180723,0.04426788691776828,0.6197329537183746,0.7296646366430714,0.749132824194789,0.024670865991425005,0.7184998980887269,0.779765750300851,0.686931456108189,0.019478392854624035,0.6627458369577328,0.7111170752586451,0.6680484629139108,0.06700073019492574,0.5848560683775075,0.7512408574503142,0.6242522581231504,0.0457230500032585,0.5674795930460338,0.6810249232002671,44.8,67.2,33.6,20.4
NC vs MCI,75,Before Scaling,LR (L2),0.6819277108433734,0.027737022730653836,0.6474876483013611,0.7163677733853858,0.7430494692492037,0.019105384602110063,0.719327001016927,0.7667719374814803,0.678591623245209,0.023040125816571225,0.6499835285046874,0.7071997179857307,0.6857025296949707,0.047563221815015724,0.6266449895286856,0.7447600698612558,0.6261076066311405,0.03076309065806241,0.5879101844875458,0.6643050287747352,44.2,69.0,31.8,21.0
NC vs MCI,75,Before Scaling,LR (ElasticNet),0.6903614457831325,0.030893690132429114,0.6520018629740323,0.7287210285922328,0.7460725165698647,0.02201299286770781,0.7187397758333156,0.7734052573064139,0.663157830290546,0.030349118854540932,0.6254744220316554,0.7008412385494366,0.7096206123910906,0.05819840995379798,0.6373577419987559,0.7818834827834253,0.6270593103215778,0.033204612992191726,0.5858303377948842,0.6682882828482714,43.2,71.4,29.4,22.0
NC vs MCI,75,Before Scaling,SVM (Linear),0.6867469879518072,0.027275256440172948,0.652880283988269,0.7206136919153454,0.7379448720081289,0.02258460452282287,0.7099023816584697,0.765987362357788,0.6574810195391083,0.052874016588223195,0.5918292567010828,0.7231327823771339,0.7074172552906747,0.0487909361725074,0.6468353064066144,0.767999204174735,0.6216045134775785,0.03557091221167249,0.577437392401078,0.665771634554079,42.8,71.2,29.6,22.4
NC vs MCI,75,Before Scaling,SVM (RBF),0.5373493975903615,0.11504289278161263,0.39450477937421713,0.6801940158065058,0.24594097930549386,0.019050406100982232,0.22228677589874282,0.26959518271224486,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,0.6,0.5477225575051662,-0.08008738065825705,1.280087380658257,0.23366552702407795,0.3200237803884135,-0.16369647965328366,0.6310275337014395,27.4,61.8,39.0,37.8
NC vs MCI,75,Before Scaling,SVM (Poly d2),0.6084337349397589,0.031010934159599372,0.5699285744431171,0.6469388954364008,0.6481082035135077,0.039845586397361896,0.5986333733965857,0.6975830336304297,0.01016949152542373,0.022739674347455493,-0.01806554344268948,0.03840452649353694,0.996047507788162,0.00542539961312908,0.989310984412671,1.0027840311636531,0.019047619047619046,0.04259177099999599,-0.03383704962281521,0.07193228771805331,0.6,100.4,0.4,64.6
NC vs MCI,75,Before Scaling,SVM (Sigmoid),0.7024096385542168,0.03059861469686817,0.664416440290207,0.7404028368182266,0.7477792771084747,0.020954670485475724,0.7217606171724364,0.7737979370445129,0.5313217001608729,0.05648148840587025,0.46119066944234033,0.6014527308794054,0.8134779432588669,0.06402619284644696,0.7339789246593822,0.8929769618583516,0.5830618860076928,0.028262542080404664,0.5479693050087354,0.6181544670066502,34.6,82.0,18.8,30.6
NC vs MCI,75,After Scaling,NeuralNet,0.47228915662650606,0.036294868268414625,0.42722312537806734,0.5173551878749447,0.4732170400305746,0.056675415454190504,0.40284521707786486,0.5435888629832843,0.46816375351396217,0.3424839841366431,0.042913720450102555,0.8934137865778218,0.4729996709813917,0.26856370577014615,0.13953378630241203,0.8064655556603713,0.367669871576977,0.1707390328756679,0.15566936136713086,0.5796703817868232,30.6,47.8,53.0,34.6
NC vs MCI,75,After Scaling,KNN,0.6518072289156626,0.01616434682529968,0.6317365414082086,0.6718779164231166,0.6351580939030841,0.04128851307296511,0.5838916336810177,0.6864245541251505,0.2491869311542661,0.03566810178756084,0.2048991332803844,0.2934747290281478,0.9132351261376825,0.04135260192951997,0.8618890890897459,0.9645811631856192,0.3580467485898874,0.026724160703994377,0.32486432036152574,0.39122917681824904,16.2,92.0,8.8,49.0
NC vs MCI,75,After Scaling,RandomForest,0.7096385542168675,0.03843165760900379,0.6619193485724737,0.7573577598612613,0.7576516480160623,0.04393185902431148,0.7031030402914116,0.8122002557407131,0.415274204040331,0.09068818491726802,0.3026699497661135,0.5278784583145485,0.9020369847457534,0.040940425708395185,0.8512027320725032,0.9528712374190037,0.5244777153840929,0.08939656329050022,0.41347722118313435,0.6354782095850515,27.0,90.8,10.0,38.2
NC vs MCI,75,After Scaling,LR (L1),0.6771084337349398,0.041649122933599056,0.625394217231527,0.7288226502383526,0.7438605753231323,0.024914048526211714,0.7129256982186336,0.774795452427631,0.6772826586306854,0.04437725581544472,0.6221810177455689,0.7323842995158019,0.6778618649385554,0.05097154765894223,0.6145723292777193,0.7411514005993914,0.6219370057203062,0.05348686656191159,0.5555242891336517,0.6883497223069607,44.2,68.2,32.6,21.0
NC vs MCI,75,After Scaling,LR (L2),0.6626506024096386,0.027932585829806313,0.6279677162080314,0.6973334886112458,0.7268678710118828,0.017708249067764692,0.7048801756732139,0.7488555663505516,0.6385276512003049,0.041749856214039496,0.5866883578091482,0.6903669445914615,0.6793980139492783,0.03529224550632732,0.6355769032883031,0.7232191246102536,0.5972582128798057,0.03765459481975414,0.550503858125167,0.6440125676344445,41.6,68.4,32.4,23.6
NC vs MCI,75,After Scaling,LR (ElasticNet),0.6783132530120483,0.031185973748300698,0.6395907521598555,0.717035753864241,0.7367638654226287,0.025912978112926796,0.7045886534135654,0.7689390774316921,0.6589716951507048,0.0287420119170644,0.6232837737173422,0.6946596165840673,0.6916290002832058,0.043879582294316634,0.6371453026921334,0.7461126978742783,0.6163734675823102,0.04289762072625964,0.5631090363179139,0.6696378988467064,43.0,69.6,31.2,22.2
NC vs MCI,75,After Scaling,SVM (Linear),0.6710843373493975,0.034500773646449046,0.6282459688024244,0.7139227058963706,0.7180862962591164,0.025063901024144065,0.6869653527028942,0.7492072398153385,0.622503948587461,0.05982034464723632,0.5482271802788463,0.6967807168960758,0.7025581280090625,0.023597703203680515,0.6732577095007547,0.7318585465173703,0.5967638818810064,0.05041976067898206,0.5341594802478644,0.6593682835141483,40.6,70.8,30.0,24.6
NC vs MCI,75,After Scaling,SVM (RBF),0.6987951807228916,0.04528101318787021,0.6425713768453232,0.75501898460046,0.7466692910823796,0.01872264947969294,0.7234220512724564,0.7699165308923027,0.587891061421924,0.07861626675729791,0.49027607331620365,0.6855060495276444,0.7733667072039804,0.05820101470149485,0.7011006025902061,0.8456328118177546,0.6037790316181407,0.06272216056509652,0.5258991829549043,0.6816588802813771,38.2,77.8,23.0,27.0
NC vs MCI,75,After Scaling,SVM (Poly d2),0.5698795180722891,0.07148143120092207,0.4811235984100247,0.6586354377345535,0.643377522510489,0.042870032493311006,0.5901473465617191,0.6966076984592589,0.3715774637707347,0.5017172196171947,-0.2513867451068285,0.9945416726482978,0.6760348815255357,0.4393883139990862,0.1304622308014184,1.221607532249653,0.24655737704918038,0.32299523404106184,-0.15449417665100582,0.6476089307493665,25.4,69.2,31.6,39.8
NC vs MCI,75,After Scaling,SVM (Sigmoid),0.6903614457831326,0.04164912293359906,0.6386472292797198,0.7420756622865454,0.734244773600221,0.02034522248302848,0.7089828433075986,0.7595067038928434,0.5259989631963449,0.07691760533765253,0.4304931418205359,0.6215047845721539,0.7974668982291303,0.06078656580451133,0.7219904078952244,0.8729433885630362,0.5701159377021445,0.054673205469896034,0.5022301868037774,0.6380016886005117,34.2,80.4,20.4,31.0
NC vs AD,75,Before Scaling,NeuralNet,0.4715880561935794,0.05048638616164128,0.4089009280972566,0.5342751842899023,0.4878364191354576,0.07246725236537166,0.3978564408246289,0.5778163974462863,0.5731591903108931,0.34539604880517516,0.14429335138767607,1.0020250292341102,0.39827529144350315,0.361520862262898,-0.050612147827919896,0.8471627307149262,0.459252266522844,0.1923874164286897,0.2203717378359042,0.6981327952097838,52.4,39.0,61.8,40.6
