Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,100,Before Scaling,NeuralNet,0.48192771084337355,0.03326915969032306,0.44061859300540746,0.5232368286813397,0.46984873741412947,0.025065304023810873,0.4387260518037315,0.5009714230245275,0.4784447411303597,0.22224175290738615,0.20249515764756104,0.7543943246131584,0.48475456322432675,0.18957750248227034,0.2493630035227065,0.720146122925947,0.40134082047574415,0.10949690680986719,0.26538245337525923,0.5372991875762291,31.2,48.8,52.0,34.0
NC vs MCI,100,Before Scaling,KNN,0.6385542168674698,0.018567512057135485,0.6154996056099103,0.6616088281250293,0.6108231271269455,0.03941087679158756,0.5618880602771869,0.6597581939767042,0.15697452302103831,0.035277877779479994,0.11317125224922536,0.20077779379285127,0.9509025188665101,0.02204476064908129,0.9235303332195268,0.9782747045134934,0.2526323064317275,0.04591936658487482,0.19561588212296743,0.3096487307404876,10.2,95.8,5.0,55.0
NC vs MCI,100,Before Scaling,RandomForest,0.6903614457831325,0.02541569049364937,0.6588036979076783,0.7219191936585867,0.7407501125940514,0.022723537639799563,0.7125351139948841,0.7689651111932188,0.35551778103210563,0.0700257665725042,0.2685693077324064,0.44246625433180486,0.9075730379662484,0.02857168539275399,0.8720966048460613,0.9430494710864356,0.47098790392889145,0.07240405778880658,0.38108639204866535,0.5608894158091176,23.2,91.4,9.4,42.0
NC vs MCI,100,Before Scaling,LR (L1),0.672289156626506,0.04208252818451322,0.6200367964264006,0.7245415168266114,0.7397448258385332,0.027384051739088314,0.705743034669158,0.7737466170079084,0.6695629435915296,0.046138034342175185,0.6122750074009616,0.7268508797820975,0.6761987369572581,0.0662348730705861,0.5939572796399152,0.758440194274601,0.6160372978020037,0.04548803966631366,0.5595564365994772,0.6725181590045302,43.6,68.0,32.8,21.6
NC vs MCI,100,Before Scaling,LR (L2),0.6722891566265059,0.029999758067442733,0.6350395370793392,0.7095387761736726,0.7301081076076124,0.024553592467423047,0.699620795814246,0.7605954194009787,0.6584064694686373,0.0708470153164431,0.5704382811700192,0.7463746577672555,0.6829482746652895,0.02429143426419109,0.65278647527471,0.713110074055869,0.6106922841152047,0.0422561924740104,0.558224291219057,0.6631602770113524,42.8,68.8,32.0,22.4
NC vs MCI,100,Before Scaling,LR (ElasticNet),0.6903614457831326,0.034500773646449046,0.6475230772361595,0.7331998143301057,0.7381992198019809,0.027170603275265392,0.7044624599056065,0.7719359796983553,0.6422143334888402,0.05838330173866777,0.569721889623669,0.7147067773540113,0.7237922768087693,0.05431010673816026,0.656357372533392,0.7912271810841467,0.6187767144344721,0.04580759068802581,0.5618990782326964,0.6756543506362479,41.8,72.8,28.0,23.4
NC vs MCI,100,Before Scaling,SVM (Linear),0.6951807228915663,0.033702652363131,0.6533333528082894,0.7370280929748432,0.7290607297507807,0.02237932661269153,0.7012731255917583,0.7568483339098032,0.6515966002860449,0.06844329285764002,0.5666130276261964,0.7365801729458935,0.725378406106141,0.04288264079723582,0.6721325748803092,0.7786242373319728,0.6254206467263319,0.04878467073228951,0.5648464774138231,0.6859948160388407,42.4,73.0,27.8,22.8
NC vs MCI,100,Before Scaling,SVM (RBF),0.7108433734939759,0.0419529767385064,0.6587518726602923,0.7629348743276594,0.7479517704545829,0.013321682055668181,0.7314107174505426,0.7644928234586232,0.5963413787599533,0.08849814579886615,0.4864564172137133,0.7062263403061934,0.7867554308894331,0.045965300581108114,0.7296819719912565,0.8438288897876097,0.6158919758526109,0.0664885542245515,0.5333355317793663,0.6984484199258555,38.8,79.2,21.6,26.4
NC vs MCI,100,Before Scaling,SVM (Poly d2),0.6373493975903614,0.04027593891673924,0.5873402142435923,0.6873585809371304,0.6345017196283809,0.04712237458896046,0.5759915635913967,0.693011875665365,0.3981081796607979,0.08061059272534561,0.29801690879986986,0.498199450521726,0.7944376683270307,0.03930614417925777,0.7456326441914397,0.8432426924626216,0.46039986498422303,0.07008973762364992,0.3733719611333889,0.5474277688350572,25.8,80.0,20.8,39.4
NC vs MCI,100,Before Scaling,SVM (Sigmoid),0.6987951807228916,0.030420195597476152,0.6610235190311887,0.7365668424145945,0.7346292922697758,0.02150603003799618,0.7079260290273072,0.7613325555122444,0.47661842668672927,0.06595822473209385,0.3947204736514551,0.5585163797220035,0.844171862939455,0.05543105733153738,0.7753451146685161,0.9129986112103939,0.5522344938061424,0.04989397741875782,0.4902829383180792,0.6141860492942057,31.0,85.0,15.8,34.2
NC vs MCI,100,After Scaling,NeuralNet,0.5156626506024097,0.08418661228085869,0.41113116500252833,0.620194136202291,0.4862273639694189,0.04948593127141345,0.4247824646921189,0.5476722632467189,0.45514233874102955,0.2837208708638144,0.10285634785041126,0.8074283296316478,0.5566485484309839,0.29974461050793094,0.18446645690767566,0.928830639954292,0.3978894402843451,0.10169447560122176,0.27161907111409667,0.5241598094545935,29.6,56.0,44.8,35.6
NC vs MCI,100,After Scaling,KNN,0.6024096385542169,0.03130212302835323,0.5635429193225656,0.6412763577858682,0.5905443801862396,0.038450742131212926,0.5428014779776957,0.6382872823947834,0.19623806320587248,0.06575743645416558,0.11458942174656313,0.27788670466518184,0.8647744903682231,0.036166625554631605,0.8198676934805207,0.9096812872559255,0.27546563712942546,0.0745739480796377,0.18286985059502242,0.3680614236638285,12.8,87.2,13.6,52.4
NC vs MCI,100,After Scaling,RandomForest,0.7084337349397591,0.027474106628894907,0.6743201258558489,0.7425473440236694,0.7560700741186228,0.03286645182101614,0.7152609841437685,0.7968791640934771,0.39070642002402695,0.04260358481612831,0.3378070825634198,0.4436057574846341,0.9158502909801701,0.04161527534715737,0.8641781018062681,0.9675224801540722,0.512,0.047169359489455075,0.45343150450361247,0.5705684954963876,25.4,92.2,8.6,39.8
NC vs MCI,100,After Scaling,LR (L1),0.6975903614457831,0.03199016396952229,0.657869326548192,0.7373113963433743,0.7525155625331326,0.023716450159534174,0.723067700204845,0.7819634248614201,0.6954908910762061,0.03334616240620057,0.6540861617381709,0.7368956204142413,0.6992101318295656,0.0336124384565592,0.6574747771062163,0.7409454865529149,0.6431270724960798,0.04549767732411136,0.5866342445608388,0.6996199004313208,45.4,70.4,30.4,19.8
NC vs MCI,100,After Scaling,LR (L2),0.6710843373493977,0.043773258131530005,0.6167326586433965,0.7254360160553988,0.7352154770026668,0.02849807024596889,0.6998304491599653,0.7706005048453682,0.6619331987158638,0.06873686635580413,0.576585106412518,0.7472812910192095,0.6793560022989655,0.05109249105505219,0.6159162955773593,0.7427957090205718,0.6118398991851826,0.04847050463120112,0.5516558186098512,0.6720239797605139,43.0,68.4,32.4,22.2
NC vs MCI,100,After Scaling,LR (ElasticNet),0.6951807228915663,0.025056185955524616,0.6640693588582925,0.72629208692484,0.7485013925717474,0.023245836930253245,0.7196378737473365,0.7773649113961584,0.6565193081751708,0.02291198714826427,0.6280703186058637,0.6849682977444779,0.7201204735646736,0.03271873174740991,0.6794948022870281,0.7607461448423191,0.628319794007379,0.02734166091800727,0.5943706379943945,0.6622689500203636,42.8,72.6,28.2,22.4
NC vs MCI,100,After Scaling,SVM (Linear),0.6879518072289157,0.02806220409361956,0.653107978695622,0.7227956357622094,0.736747185792424,0.018269086624610797,0.7140631186505788,0.7594312529342693,0.6561374231637324,0.07554286099499012,0.5623385723449416,0.7499362739825232,0.7107643338275553,0.02612450855441408,0.678326472084773,0.7432021955703376,0.6213859083922902,0.03869131973424226,0.5733442896352907,0.6694275271492898,42.6,71.6,29.2,22.6
NC vs MCI,100,After Scaling,SVM (RBF),0.7060240963855422,0.03843165760900379,0.6583048907411484,0.753743302029936,0.7490075947923941,0.02434431739014188,0.718780132328209,0.7792350572565792,0.5918135795817303,0.09045198206377503,0.479502609886968,0.7041245492764926,0.7833146209205857,0.05780567892195172,0.711539390511472,0.8550898513296994,0.6101956881442728,0.057813104113257255,0.5384112381424352,0.6819801381461105,38.4,78.8,22.0,26.8
NC vs MCI,100,After Scaling,SVM (Poly d2),0.5939759036144578,0.06454503728182591,0.5138326545588947,0.674119152670021,0.3691493135032752,0.03808057487310521,0.32186603465243746,0.4164325923541129,0.25722814498933905,0.4110935467432221,-0.25321191189561715,0.7676682018742953,0.7928030303030302,0.37013700991189696,0.3332172306926371,1.2523888299134234,0.20628610261637786,0.2895163720670634,-0.1531959534698613,0.5657681587026171,17.8,80.8,20.0,47.4
NC vs MCI,100,After Scaling,SVM (Sigmoid),0.708433734939759,0.03118597374830069,0.6697112340875663,0.7471562357919518,0.7352494514637691,0.028519409803890595,0.6998379270602586,0.7706609758672796,0.48570675540413716,0.07499267988203855,0.39259104466579,0.5788224661424843,0.8531488219190253,0.048584430096776536,0.7928232841946103,0.9134743596434403,0.5646021390743494,0.051711880955669684,0.5003933582122954,0.6288109199364035,31.6,86.0,14.8,33.6
NC vs AD,100,Before Scaling,NeuralNet,0.4768014529138401,0.020126090463745402,0.4518116109604153,0.5017912948672649,0.4924324739696189,0.0218313385562405,0.4653252868517373,0.5195396610875005,0.5876095318510179,0.09867589800197739,0.46508722181153567,0.7101318418905003,0.3830238581654017,0.0967114824453779,0.2629406922000604,0.5031070241307429,0.5154502079325066,0.028427132930543116,0.4801532604004985,0.5507471554645147,54.2,38.2,62.6,38.8
NC vs AD,100,Before Scaling,KNN,0.6088884140804445,0.02535698946877385,0.577403553154236,0.640373275006653,0.6885473353041706,0.03754025691884249,0.641934949804724,0.7351597208036171,0.36974807785953295,0.05069465532195594,0.3068023494449113,0.4326938062741546,0.829638737538213,0.013195542053392573,0.8132543080337317,0.8460231670426944,0.47362879134846364,0.048894195302694725,0.41291862931996387,0.5343389533769634,34.4,83.6,17.2,58.6
NC vs AD,100,Before Scaling,RandomForest,0.8194113562309706,0.02620000346878217,0.78687975517097,0.8519429572909712,0.8844581287173565,0.034789432006603074,0.8412613434767997,0.9276549139579133,0.7756002305228311,0.0758535999533122,0.6814155463266525,0.8697849147190098,0.8567054769835556,0.05128683583606029,0.7930244593441328,0.9203864946229784,0.8018730952057472,0.04641570865371725,0.7442403808193115,0.8595058095921829,72.4,86.4,14.4,20.6
NC vs AD,100,Before Scaling,LR (L1),0.7894717162544735,0.03249069671899194,0.749129187861944,0.829814244647003,0.8554558214748657,0.027933963824138788,0.8207712242673061,0.8901404186824252,0.755324943374479,0.04874781331912381,0.6947965385849649,0.815853348163993,0.8215484653905497,0.02896508650375124,0.785583560273984,0.8575133705071154,0.7738989682852513,0.03626911561228036,0.7288649131827926,0.81893302338771,70.2,82.8,18.0,22.8
NC vs AD,100,Before Scaling,LR (L2),0.7750227017787511,0.03394085884850797,0.7328795592784431,0.8171658442790591,0.8521073643171467,0.029408826277906412,0.8155914834984415,0.888623245135852,0.7479510719758398,0.047709475443085424,0.6887119339449739,0.8071902100067057,0.799363891834238,0.025604391346725534,0.7675718409030888,0.8311559427653871,0.7601501051063886,0.04261714626250125,0.7072339288860566,0.8130662813267205,69.6,80.6,20.2,23.4
NC vs AD,100,Before Scaling,LR (ElasticNet),0.7863575663693178,0.033695163800023915,0.7445194945652492,0.8281956381733863,0.8535147520887663,0.0277208031193586,0.819094828854164,0.8879346753233686,0.7642157086119934,0.04327916339588428,0.7104775295509456,0.8179538876730412,0.8074376193489593,0.026380793222915765,0.7746815381600068,0.8401937005379118,0.7736862669492822,0.03569577607211337,0.7293641069125956,0.8180084269859689,71.0,81.4,19.4,22.0
NC vs AD,100,Before Scaling,SVM (Linear),0.7719138934885956,0.02778383669617434,0.7374157037309833,0.806412083246208,0.848973741661353,0.032939208631147604,0.8080743121747342,0.8898731711479717,0.7326470811610131,0.03921739044790525,0.6839522593383488,0.7813419029836773,0.8069923503322617,0.02877971012657039,0.7712576203893589,0.8427270802751645,0.7540148803352127,0.03536517604044179,0.7101032144556577,0.7979265462147677,68.2,81.4,19.4,24.8
NC vs AD,100,Before Scaling,SVM (RBF),0.8152876448907644,0.013107862185774226,0.799012084321272,0.8315632054602569,0.8916367608352378,0.01643766655117337,0.8712267020641675,0.9120468196063081,0.8058759197458887,0.045452022211120484,0.7494397801207824,0.862312059370995,0.822734036719449,0.03319368434641684,0.7815186338987633,0.8639494395401347,0.8061062467788919,0.021824188014130688,0.7790079382317157,0.8332045553260681,75.0,83.0,17.8,18.0
NC vs AD,100,Before Scaling,SVM (Poly d2),0.5376368783718818,0.036513432719545255,0.492299463513187,0.5829742932305766,0.7418389564302273,0.03684525107244363,0.6960895346687954,0.7875883781916593,0.035559799677446734,0.03089387537755307,-0.002800013143854703,0.07391961249874818,1.0,0.0,1.0,1.0,0.06730830011626218,0.05738253961942805,-0.003941533454682886,0.13855813368720726,3.4,100.8,0.0,89.6
NC vs AD,100,Before Scaling,SVM (Sigmoid),0.7677741573633886,0.033270826723343055,0.7264629696305378,0.8090853450962394,0.8491919893763462,0.029689217910270602,0.8123279563623368,0.8860560223903556,0.6785286746277459,0.03192950517236347,0.6388829575747612,0.7181743916807306,0.8510848214979505,0.03974523225866751,0.8017345975021161,0.900435045493785,0.7370306439327774,0.03122352947836656,0.6982615114826356,0.7757997763829192,63.0,85.8,15.0,30.0
NC vs AD,100,After Scaling,NeuralNet,0.4870840232893542,0.03876031897288827,0.43895673066182445,0.535211315916884,0.4869347411511457,0.05362992420503164,0.42034439503936116,0.5535250872629303,0.46222110534804034,0.2800321179844914,0.11451530610594784,0.8099269045901328,0.5215909680022195,0.2986966983145088,0.15071003132276228,0.8924719046816767,0.4100388887023544,0.2269749423060091,0.12821227434660593,0.6918655030581029,42.2,52.2,48.6,50.8
NC vs AD,100,After Scaling,KNN,0.6057689226002885,0.028771930141179652,0.5700438527851519,0.641493992415425,0.6751782490882705,0.026680667010283016,0.6420498254135392,0.7083066727630019,0.3795570476994626,0.060990759440382326,0.30382701747923335,0.4552870779196918,0.81157965703062,0.05433856722271503,0.7441094143961995,0.8790498996650404,0.47772235401871077,0.04340928304744258,0.42382261007086425,0.5316220979665573,35.4,82.0,18.8,57.6
