Comparison,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs AD,After Scaling,SVM,0.7957446808510638,0.02425905159785398,0.9250842983267245,0.04184666449369614,0.6428643539795781,0.1324967621563168,0.9040203882139366,0.07533265137000607,0.6967923691538165,0.055054809613899074
NC vs AD,After Scaling,LogisticRegression,0.8340425531914895,0.017801277160299507,0.9146707392097408,0.043795513317117604,0.7809772993865739,0.12469381333344857,0.8839743052646278,0.08076019871726364,0.7764546899841018,0.027205782190290392
MCI vs AD,Before Scaling,NeuralNet,0.5048484848484849,0.1320982743502644,0.5060287474316197,0.08184112171730039,0.526140350877193,0.4691303191934843,0.4642564776644442,0.3590030552153919,0.2968863669431107,0.24253264396950988
MCI vs AD,Before Scaling,KNN,0.7145454545454545,0.06270604237415699,0.6335042709489542,0.06306660428032752,0.008695652173913044,0.019444069369563388,0.9747027123533417,0.010302764853133485,0.016,0.03577708763999664
MCI vs AD,Before Scaling,RandomForest,0.7691841491841493,0.06665003786287486,0.7329940761475775,0.11400767649440466,0.17994660564454615,0.13053465917092624,0.9923048464668887,0.010540269790310279,0.2807520016215668,0.16265816004898723
MCI vs AD,Before Scaling,SVM,0.766060606060606,0.07433204238585486,0.7398026100750963,0.047712194232613254,0.30485888634630054,0.18045149649119363,0.9473869955710977,0.038630959261461775,0.39377137804724016,0.175851975120181
MCI vs AD,Before Scaling,LogisticRegression,0.7356177156177156,0.0891751439688025,0.7092424993244529,0.06395059284731057,0.47096872616323415,0.11922412560581346,0.8357396677803172,0.07540811331133604,0.49066127637708723,0.12353786342280412
MCI vs AD,After Scaling,NeuralNet,0.4978554778554778,0.1615610299845192,0.5227743080699656,0.08774698814596246,0.5633333333333332,0.40041644987853997,0.4662335182843331,0.36601547571352894,0.3185083594566353,0.20171660602838473
MCI vs AD,After Scaling,KNN,0.7266666666666666,0.06518321991082573,0.6203845746683279,0.06797026384027965,0.013333333333333332,0.02981423969999719,0.9918785890073831,0.01116693540671739,0.025,0.05590169943749475
MCI vs AD,After Scaling,RandomForest,0.7539393939393939,0.07634319110623311,0.7616646091989661,0.08004593544330223,0.13511060259344013,0.15355116318476073,0.9881975110397431,0.017176976612754226,0.2093160173160173,0.2144179713416933
MCI vs AD,After Scaling,SVM,0.7934265734265734,0.07435941279072213,0.7592399541221871,0.05417483671315378,0.3364378337147216,0.17349808059037441,0.971899212270739,0.021929131534971415,0.4512874493927125,0.17928116229495433
MCI vs AD,After Scaling,LogisticRegression,0.7265268065268066,0.08738887013131941,0.6992321443817223,0.05814764133377665,0.42971777269260103,0.16316852654637642,0.8461970920608108,0.06335445193730448,0.4519281484798726,0.1405132107222881
