Comparison,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,Before Scaling,NeuralNet,0.45577755577755574,0.07373021427531291,0.5056731864482505,0.046570273797290083,0.33902173913043476,0.23808302949390842,0.6434212617193708,0.2388276249114248,0.3938309930637175,0.22536697721759122
NC vs MCI,Before Scaling,KNN,0.6032634032634033,0.09013784500338402,0.603583350605803,0.11965109737709649,0.6953115942028986,0.08781518084099904,0.45362307325599865,0.1318626837341384,0.6844560914209771,0.07718851247703827
NC vs MCI,Before Scaling,RandomForest,0.6761571761571762,0.009369980861399611,0.7500607472761315,0.051627731617170665,0.9176666666666666,0.05617865846268197,0.28230573653265534,0.08667083660118129,0.7786418548291287,0.006029128420208594
NC vs MCI,Before Scaling,SVM,0.6812520812520813,0.0393542436569608,0.7567413470684012,0.042953023627137515,0.7713695652173913,0.03723137174491403,0.5354918163038296,0.10696532313786566,0.7507097285516148,0.02639689722289659
NC vs MCI,Before Scaling,LogisticRegression,0.6476190476190476,0.0387923234930214,0.7062577386421995,0.05321063253766077,0.7543550724637681,0.019381186296835207,0.4717463848720801,0.0934258958207038,0.7272655886664376,0.02284975353076309
NC vs MCI,After Scaling,NeuralNet,0.5234432234432235,0.08074059871763425,0.5682107068585524,0.07235663445189436,0.5462173913043478,0.26308979784415554,0.4982122993802638,0.2685451166000332,0.5602088823581851,0.15253601773797604
NC vs MCI,After Scaling,KNN,0.600932400932401,0.026705090376611583,0.6090237415854285,0.04515041078979892,0.7003115942028987,0.039387321038643036,0.4404258700143016,0.09418012769991423,0.6854962290638213,0.02122150623028901
NC vs MCI,After Scaling,RandomForest,0.6812520812520813,0.035996704492552836,0.7290600218324018,0.02743138192403427,0.9039275362318839,0.019868582095996585,0.31614492293023994,0.04561321884257668,0.7789628863313074,0.02638900118181064
NC vs MCI,After Scaling,SVM,0.6658008658008658,0.032308412393152026,0.7453947214180928,0.03237908884166708,0.7963985507246377,0.046958489849611894,0.45259017956459563,0.11152484096456688,0.7476348611536258,0.019451305102134806
NC vs MCI,After Scaling,LogisticRegression,0.6243756243756244,0.04372840884763096,0.697633736127328,0.0563435809244455,0.7505507246376812,0.05469025816701079,0.4160336882250119,0.08175643505886591,0.7127419453337145,0.03354308124771576
NC vs AD,Before Scaling,NeuralNet,0.5914893617021276,0.06092689814160151,0.49116544078995067,0.10937981483146858,0.43166740380362667,0.4009811775077219,0.6266869152353023,0.36346132767412986,0.360650406504065,0.26552999865128807
